ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13
MED-1,,0.91024977,,,,,0.08366841,,,,,,,
MED-2,,0.9911498,,,,,,,,,,,,
MED-3,,0.2846104,,,0.3666688,,0.34276557,,,,,,,
MED-4,,0.8421347,,,,,0.15272954,,,,,,,
MED-5,,0.99422973,,,,,,,,,,,,
MED-6,,0.95709217,,,,,,,0.03650746,,,,,
MED-7,,,,,0.5359416,0.08889747,,,0.3701839,,,,,
MED-8,,0.36921558,,,0.05346019,0.5039917,0.063675664,,,,,,,
MED-9,,,,,0.9565181,,0.034818836,,,,,,,
MED-10,,0.8964156,,,,,0.097416595,,,,,,,
MED-11,,0.9937661,,,,,,,,,,,,
MED-12,,,,,0.9901179,,,,,,,,,
MED-13,,0.9929083,,,,,,,,,,,,
MED-14,,0.99311876,,,,,,,,,,,,
MED-15,,,,,,,0.99336326,,,,,,,
MED-16,,0.17900099,,0.3476933,0.15389487,,0.30788568,,,,,,,
MED-17,,0.85080963,,,,,0.14269523,,,,,,,
MED-18,,0.68587834,,0.3067929,,,,,,,,,,
MED-19,,0.20721906,,,0.19733408,0.5831664,,,,,,,,
MED-20,,0.97878206,,,,,0.014722615,,,,,,,
MED-21,,,,,0.14096792,,0.8504518,,,,,,,
MED-22,,,,,,,0.98633265,,,,,,,
MED-23,,,,,0.32010376,,0.4055344,,,,,,0.26521492,
MED-24,,,,,0.7392529,0.25535405,,,,,,,,
MED-25,,,,,,,0.9943356,,,,,,,
MED-26,,,,,,,0.5850433,,,,,,0.40089113,
MED-27,,0.4965978,,,,,0.49690434,,,,,,,
MED-28,,,,,0.062020242,,0.6518923,,,,,,0.27830225,
MED-29,,0.54233074,,,,,0.44909516,,,,,,,
MED-30,,0.58024293,,,,,0.4129493,,,,,,,
MED-31,,0.7369989,,,,,0.25640374,,,,,,,
MED-32,,,,,0.12911722,,0.864484,,,,,,,
MED-33,,,,,,,0.9943356,,,,,,,
MED-34,,,0.09492857,,0.21301681,,0.6843472,,,,,,,
MED-35,,,0.24211454,,,,0.75255907,,,,,,,
MED-36,,0.7503856,,,,,0.2420899,,,,,,,
MED-37,,0.72949046,,,,,0.26459274,,,,,,,
MED-38,,0.19641683,0.801427,,,,,,,,,,,
MED-39,,0.0405234,,,,,0.55782825,,0.39573416,,,,,
MED-40,,0.65929526,,,,0.2862391,,,0.048808318,,,,,
MED-41,,0.8007545,,,,0.14780006,0.044725075,,,,,,,
MED-42,,0.01714558,,,,,0.97774893,,,,,,,
MED-43,,0.81026286,,,,,0.18323901,,,,,,,
MED-44,,0.32171133,0.13721743,,,,0.5348804,,,,,,,
MED-45,,0.22577713,,,,0.72248286,0.045647252,,,,,,,
MED-46,,0.7430731,,,,0.24533376,,,,,,,,
MED-47,,,,,,0.18109427,0.80385786,,,,,,,
MED-48,,,,,,0.8968004,,,,,,,,
MED-49,0.05122709,,,,0.0892402,,0.3066011,,0.3941276,,,0.151326,,
MED-50,,,,,,0.7090807,0.22048281,,0.06456866,,,,,
MED-51,0.04580926,0.25570944,,,,,,,0.6938028,,,,,
MED-52,,0.5692778,,,,,0.09523729,,0.33111647,,,,,
MED-53,,0.62034184,,,,,,,0.3710828,,,,,
MED-54,,0.30270892,,,,,0.30018094,,0.3918334,,,,,
MED-55,,,,,0.038469836,0.7381562,,,0.21412617,,,,,
MED-56,,0.6837429,,,,,,,0.30852988,,,,,
MED-57,,0.10023976,,,0.8943661,,,,,,,,,
MED-58,,,,,0.41054684,,0.5741341,,,,,,,
MED-59,,0.08858202,,,0.90144753,,,,,,,,,
MED-60,,,,,0.9863403,,,,,,,,,
MED-61,,0.7629522,,,,,0.2311342,,,,,,,
MED-62,,,,,0.9919206,,,,,,,,,
MED-63,,0.08588933,,,0.90988684,,,,,,,,,
MED-64,,,,,0.8628056,,0.13084105,,,,,,,
MED-65,,,,,0.18194161,0.17847441,0.6325649,,,,,,,
MED-66,,0.27564567,,,0.39248922,0.3226159,,,,,,,,
MED-67,,,,,0.07733309,,0.9093114,,,,,,,
MED-68,,0.100220434,,,0.8943854,,,,,,,,,
MED-69,,,,,0.98178184,,,,,,,,,
MED-70,,,,,0.47414753,0.5102636,,,,,,,,
MED-71,,,,,,0.4438031,,0.52937776,,,,,,
MED-72,,,,,0.1824321,0.1777037,0.63284516,,,,,,,
MED-73,,,,,,0.9836957,,,,,,,,
MED-74,,,,,0.23400734,,,,0.75298905,,,,,
MED-75,,0.07639188,,,,0.16241795,0.7558066,,,,,,,
MED-76,,,,,,0.15207827,0.8414692,,,,,,,
MED-77,,,,,0.9929094,,,,,,,,,
MED-78,,0.42187706,,,,,0.57097393,,,,,,,
MED-79,,,,0.03687251,0.28399074,,0.6713508,,,,,,,
MED-80,,,,,0.9916289,,,,,,,,,
MED-81,,,,,0.8332181,,0.16152143,,,,,,,
MED-82,,,,,0.98793674,,,,,,,,,
MED-83,,,,0.56580716,0.40835705,,0.017893342,,,,,,,
MED-84,,,,,0.98760945,,,,,,,,,
MED-85,,,,0.7151069,0.20015696,,0.07765456,,,,,,,
MED-86,,,,,0.99408025,,,,,,,,,
MED-87,,,,,0.99296206,,,,,,,,,
MED-88,,,,,0.83321065,,0.16152889,,,,,,,
MED-89,,,,,0.9927998,,,,,,,,,
MED-90,,,,0.5654861,0.40782708,,0.018744426,,,,,,,
MED-91,,0.8769726,,,,,0.11569437,,,,,,,
MED-92,,0.13205667,,0.26849547,0.5305223,,0.059880204,,,,,,,
MED-93,,,,,,0.9874477,,,,,,,,
MED-94,,0.8973139,,,,,0.09767142,,,,,,,
MED-95,,0.7842385,,,,,0.2072674,,,,,,,
MED-96,,0.93744826,,,,,0.0571597,,,,,,,
MED-97,,,,,,,0.9912372,,,,,,,
MED-98,,,,,,,0.99609596,,,,,,,
MED-99,,0.5827079,,,,,0.41168854,,,,,,,
MED-100,,0.052461848,,,,,0.94008005,,,,,,,
MED-101,,,,,0.98967814,,,,,,,,,
MED-102,,,,,0.98838794,,,,,,,,,
MED-103,,,,,0.9928551,,,,,,,,,
MED-104,,,,,0.9854811,,,,,,,,,
MED-105,,,,,0.9886732,,,,,,,,,
MED-106,,,,,0.98979276,,,,,,,,,
MED-107,,,,,0.5866085,,0.39885917,,,,,,,
MED-108,,,,,0.98838794,,,,,,,,,
MED-109,,,,,0.6192982,,,,0.36564797,,,,,
MED-110,,,,,0.7697448,0.22350077,,,,,,,,
MED-111,,,,,0.9921927,,,,,,,,,
MED-112,,,,,0.84509885,0.1481465,,,,,,,,
MED-113,,0.16350116,,,0.6470645,0.17820613,,,,,,,,
MED-114,,,,,0.76977074,0.22347489,,,,,,,,
MED-115,,,,,0.8412367,,,,0.14762078,,,,,
MED-116,,0.77001995,,,,,0.22232354,,,,,,,
MED-117,,0.39647654,,,,,0.19075662,,0.4021471,,,,,
MED-118,,0.3964714,,,,,0.19076449,,0.40214434,,,,,
MED-119,,,,,,,,,0.99440295,,,,,
MED-120,,0.34851557,,,,,0.08026332,,0.56351346,,,,,
MED-121,,0.321694,0.13721979,,,,0.5348954,,,,,,,
MED-122,,,,,,0.8967117,,,,,,,,
MED-123,,0.16135173,,,,,,,0.40318987,,,0.42824206,,
MED-124,,0.051923912,,,0.70628047,,,,0.23275891,,,,,
MED-125,,0.7745095,,,,,0.22056217,,,,,,,
MED-126,,,,,0.83919203,,,,0.15365857,,,,,
MED-127,,,,,,,0.53319436,,,,0.45805198,,,
MED-128,,0.22553995,,,,0.7222582,0.046109036,,,,,,,
MED-129,,0.9934566,,,,,,,,,,,,
MED-130,,0.02073952,,,0.70072424,0.26845816,,,,,,,,
MED-131,,0.32225212,,,,,0.670157,,,,,,,
MED-132,,0.7059171,,,,,0.28832775,,,,,,,
MED-133,,,,,0.42493427,,0.3142569,,,,,,0.2548983,
MED-134,,,,,0.79361916,0.16109768,0.038786888,,,,,,,
MED-135,,0.3886417,,,,,0.60556424,,,,,,,
MED-136,,,,,0.2455189,,0.7162923,,,,,,0.031411164,
MED-137,,,,,0.32023808,,0.6279795,,,,,,0.04323545,
MED-138,,0.027109094,,,0.12820227,0.6441024,0.111334704,,,,,,0.08275369,
MED-139,,,,,0.2043213,,0.7183715,,,,,,0.07091623,
MED-140,,,,,,0.23920347,0.27279073,,,0.47511396,,,,
MED-141,,,,,,0.3548969,,,0.63424164,,,,,
MED-142,,,,,0.38102826,,,0.08374085,0.52795094,,,,,
MED-143,,,,,0.3273209,,,,0.6638355,,,,,
MED-144,,0.13610089,,,0.85644054,,,,,,,,,
MED-145,,,,,,,,,0.9890713,,,,,
MED-146,,,,,0.3997856,,,0.4776296,0.11181404,,,,,
MED-147,,,,,,,0.38017553,,0.2992926,0.31518367,,,,
MED-148,,0.8524181,,,,,,,,,0.14103751,,,
MED-149,,,,,,,0.9919889,,,,,,,
MED-150,,,,,0.5437586,0.014872139,0.43522736,,,,,,,
MED-151,,0.8913389,,,0.102116,,,,,,,,,
MED-152,,,,,0.44129863,0.55220366,,,,,,,,
MED-153,,,,,0.89606476,,0.09599196,,,,,,,
MED-154,,0.7200526,,,,,0.073463455,,,,0.20070462,,,
MED-155,,,,,0.9930147,,,,,,,,,
MED-156,,0.72050107,,,,,,,,,0.2721709,,,
MED-157,,0.3558742,,,,,0.63889784,,,,,,,
MED-158,,,,,,,0.21299055,,,,,,0.7757276,
MED-159,,,,,,,0.7958663,,,,,,0.19284134,
MED-160,,,,,,0.08706512,0.9032919,,,,,,,
MED-161,0.39946142,0.06042133,,,0.09046966,0.265161,,,,,,,0.17764068,
MED-162,,,,,,,0.5098101,,,,,,0.47739255,
MED-163,,,,,,,0.8247866,,,0.16871262,,,,
MED-164,,,,,,,,,,,,,0.98279405,
MED-165,,,,,,0.44541875,0.5386947,,,,,,,
MED-166,,,,,,0.13078661,0.86356914,,,,,,,
MED-167,,0.40539485,,,0.060476657,,0.37183005,,,,0.15684137,,,
MED-168,,,,,,0.79849523,0.19546369,,,,,,,
MED-169,,,,,,0.19606096,0.79767984,,,,,,,
MED-170,,0.08127261,,,,,0.91232556,,,,,,,
MED-171,,,,,,,0.7162506,,,0.2769974,,,,
MED-172,,,,,,,0.99021965,,,,,,,
MED-173,,0.7571717,,,,0.23274007,,,,,,,,
MED-174,,,,0.3362497,0.060037557,,0.5927862,,,,,,,
MED-175,,,,,,0.99051976,,,,,,,,
MED-176,,,,,,0.9943005,,,,,,,,
MED-177,,,,,,,0.0609832,,0.93008554,,,,,
MED-178,,,,,,0.14629662,0.11781607,,0.7265187,,,,,
MED-179,,,,,,,,,0.99419427,,,,,
MED-180,,0.16026002,,,,0.4141666,,,0.23672286,,,,,0.18274246
MED-181,,0.27677706,,,,0.31200066,,,0.13741831,,,,,0.2683894
MED-182,,0.41224858,,,,,,,0.5780057,,,,,
MED-183,,,,,0.17297259,0.46508694,0.16458137,,0.19252908,,,,,
MED-184,,0.18718271,,,,0.61793303,,,0.1845431,,,,,
MED-185,,0.048452236,,,,,,,0.94505095,,,,,
MED-186,,0.0478038,,,,0.24917156,0.099405,,0.40698844,,,,,0.18859145
MED-187,,0.34876004,,,,,0.6437814,,,,,,,
MED-188,,0.11369613,,,,0.87772596,,,,,,,,
MED-189,,0.63383335,,,,,0.36008444,,,,,,,
MED-190,,0.16215084,,,,,0.83193475,,,,,,,
MED-191,,0.18455677,,,,,0.8055872,,,,,,,
MED-192,,0.43016014,,,,,0.56324345,,,,,,,
MED-193,,0.21762724,,,,,0.77758294,,,,,,,
MED-194,,0.3133709,,,,,0.68178415,,,,,,,
MED-195,,0.20041357,,,,0.777005,,,,,,,,
MED-196,,,,,,0.96797013,,,,,,,,
MED-197,,,,,,0.96427065,,,,,,,,
MED-198,,0.054001436,,,,0.51584864,0.4242826,,,,,,,
MED-199,,,,,,0.9599349,0.0326079,,,,,,,
MED-200,,0.9905222,,,,,,,,,,,,
MED-201,,0.9837062,,,,,,,,,,,,
MED-202,,0.99052274,,,,,,,,,,,,
MED-203,,0.9874471,,,,,,,,,,,,
MED-204,,0.18557341,,0.2944885,0.5103526,,,,,,,,,
MED-205,,0.99345857,,,,,,,,,,,,
MED-206,,,,0.08249587,0.34906077,,0.261184,0.298096,,,,,,
MED-207,,,,,0.9933153,,,,,,,,,
MED-208,,,0.2699953,,0.16742131,,0.55354923,,,,,,,
MED-209,,,,,0.6009343,,,,,,,,0.38974345,
MED-210,,0.99290884,,,,,,,,,,,,
MED-211,,,,,0.7697417,0.2235039,,,,,,,,
MED-212,0.7456852,,,,0.10833103,,,,,,,,0.1347506,
MED-213,,0.19367108,,,,0.62517536,0.16991894,,,,,,,
MED-214,,,,,0.992905,,,,,,,,,
MED-215,,0.16346855,,,0.64703965,0.1782636,,,,,,,,
MED-216,,,,,0.7138753,,0.27690503,,,,,,,
MED-217,,,,,0.672799,0.31910735,,,,,,,,
MED-218,,,,,0.93456256,,0.06036008,,,,,,,
MED-219,,,,,0.7771505,,0.21658811,,,,,,,
MED-220,,,,,0.65881526,0.15276343,,,,,,,0.1802323,
MED-221,,,,,0.99232334,,,,,,,,,
MED-222,,,,,,,0.991774,,,,,,,
MED-223,,,,,0.81398463,,0.17612165,,,,,,,
MED-224,,0.32667002,,,,0.6561797,,,,,,,,
MED-225,,0.0355215,,,0.8822636,,0.074936405,,,,,,,
MED-226,,,,,0.4052438,,0.5861709,,,,,,,
MED-227,,,,,0.9906156,,,,,,,,,
MED-228,,,,,0.22706458,,0.7643583,,,,,,,
MED-229,,,,,0.769742,0.22350359,,,,,,,,
MED-230,,,,,0.014700603,,0.97859913,,,,,,,
MED-231,,,,,0.81079197,,0.18356594,,,,,,,
MED-232,,,,,0.32888797,,0.664806,,,,,,,
MED-233,,,,,0.8107761,,0.18358183,,,,,,,
MED-234,,,,,0.47534168,,,,0.51882356,,,,,
MED-235,,,,,,,,,0.99396765,,,,,
MED-236,,,,,,,,,0.9928,,,,,
MED-237,,,,,,,,,0.9930145,,,,,
MED-238,,,,,,0.98063475,,,,,,,,
MED-239,,,,0.8864402,,,0.105902605,,,,,,,
MED-240,,,,,,,0.9932663,,,,,,,
MED-241,,,,,0.993015,,,,,,,,,
MED-242,,0.4025071,,,,,0.48656163,,,,,,0.10585532,
MED-243,,,,,,,0.87022364,,,,,,0.122045204,
MED-244,,,,,0.993015,,,,,,,,,
MED-245,,0.5781836,,,,,0.4126876,,,,,,,
MED-246,,,0.27576667,,,,0.7162913,,,,,,,
MED-247,,,,,0.5145598,,,,,,0.164205,,0.3150422,
MED-248,,,0.17546782,,,,0.8181785,,,,,,,
MED-249,,,0.2583938,,,,0.734852,,,,,,,
MED-250,,0.21652438,,,0.56916404,,,,,,,,0.20448214,
MED-251,,,,,,,0.9405512,,,,,,0.052359022,
MED-252,,0.79837066,,,,,0.19390301,,,,,,,
MED-253,,0.40252948,,,,,0.48657265,,,,,,0.10582184,
MED-254,,0.5632049,,0.20786308,,,0.22470541,,,,,,,
MED-255,,0.7174269,,0.17381392,,,0.102420114,,,,,,,
MED-256,,0.9575716,,,,,0.036260173,,,,,,,
MED-257,,0.85176116,,,,,0.13881186,,,,,,,
MED-258,,0.034910742,,,,,0.64467263,,0.31313533,,,,,
MED-259,,,,,,,0.5312078,,0.4604677,,,,,
MED-260,,0.9945674,,,,,,,,,,,,
MED-261,,,,,,,0.08592309,,0.9074795,,,,,
MED-262,0.22306266,0.66233796,,,,0.04474788,,,0.064956166,,,,,
MED-263,,,,,0.99285454,,,,,,,,,
MED-264,,,,0.033549357,0.9606167,,,,,,,,,
MED-265,,,,,0.5584517,,0.43533278,,,,,,,
MED-266,,,,,0.9917051,,,,,,,,,
MED-267,,,,,0.0697679,,0.9238301,,,,,,,
MED-268,,,,,,,0.99140006,,,,,,,
MED-269,,,,,,,0.9935485,,,,,,,
MED-270,,,,,,,0.9928551,,,,,,,
MED-271,,,,,,,0.9925688,,,,,,,
MED-272,,,,,,,0.9917044,,,,,,,
MED-273,,0.54402107,,,,0.2788736,,,,,0.17114875,,,
MED-274,,0.69290185,,,,,0.2980679,,,,,,,
MED-275,,,,,,,0.9938896,,,,,,,
MED-276,,0.7483972,,0.20438722,,0.041754838,,,,,,,,
MED-277,,,,,,,0.8469183,,,,0.14785306,,,
MED-278,,,,,0.16874403,,0.81785744,,,,,,,
MED-279,,,,,0.35768998,0.19444348,0.44181892,,,,,,,
MED-280,,,,,0.10376064,,0.89024293,,,,,,,
MED-281,,,,,,,0.846914,,,,0.1478574,,,
MED-282,,,,,,,0.99089044,,,,,,,
MED-283,,,,,,,0.8469005,,,,0.14787093,,,
MED-284,,,,,0.07783529,,0.9035123,,,,,,,
MED-285,,,,,0.57262033,,0.4151238,,,,,,,
MED-286,,0.91312814,,,,,0.08061313,,,,,,,
MED-287,,0.9917807,,,,,,,,,,,,
MED-288,,0.7435723,,,,,0.24877259,,,,,,,
MED-289,,0.93078816,,,,,0.060553208,,,,,,,
MED-290,,0.5713903,,,,,0.42221138,,,,,,,
MED-291,,,,0.5658807,0.4084773,,0.017699528,,,,,,,
MED-292,,,,,0.9921247,,,,,,,,,
MED-293,,0.14272697,,,,0.85210633,,,,,,,,
MED-294,,,0.21439674,0.08921507,,,0.6898911,,,,,,,
MED-295,,0.14919361,0.18798423,,,,0.65567553,,,,,,,
MED-296,,0.20761995,0.22722511,,,,0.55813605,,,,,,,
MED-297,,,,,,,0.31869793,,0.6674675,,,,,
MED-298,,0.13811356,,,0.15679425,,0.6533535,,0.048108436,,,,,
MED-299,,,,,,0.2944586,,,0.6817165,,,,,
MED-300,,,,,,0.96427065,,,,,,,,
MED-301,,,,,0.4210605,0.0567462,,,0.51470435,,,,,
MED-302,,,,,,,0.53121245,,0.46046302,,,,,
MED-303,,0.17977318,,,,0.6577395,,,0.15038943,,,,,
MED-304,,0.1613382,,,,0.099839464,0.120715566,,0.6133729,,,,,
MED-305,,0.3090244,,,,0.6850606,,,,,,,,
MED-306,,0.36025107,,,,,0.19752748,,0.43631017,,,,,
MED-307,,0.073063575,,,,,0.48983714,,0.43080786,,,,,
MED-308,,,,,,,0.40044162,,0.59412956,,,,,
MED-309,,0.48834613,,,,0.07768281,,,0.42905796,,,,,
MED-310,,,,,,,0.10774493,,0.8878338,,,,,
MED-311,,,,,,,0.5958008,,,,0.39909482,,,
MED-312,,,,,,,0.99078786,,,,,,,
MED-313,,,,,0.16202556,0.3620429,0.07425045,,,,0.39577466,,,
MED-314,,,,,,,0.99170256,,,,,,,
MED-315,,,,,,0.6584978,,,,,0.33317494,,,
MED-316,,,,,0.14061508,0.036589313,0.1465829,,,,,,,0.6724505
MED-317,,0.1842515,,,,0.25103408,0.09639424,,,,0.46332148,,,
MED-318,,,,,,0.75249356,0.06757276,,,,0.16638172,,,
MED-319,,,,,0.13723321,,0.85697204,,,,,,,
MED-320,,,,,,,0.5771729,,,,0.41714746,,,
MED-321,,,,,,0.5718398,0.13955201,,,,0.28310946,,,
MED-322,,,,,0.11141964,0.63353944,,,,,0.24837804,,,
MED-323,,0.10818473,,,,,0.14734171,0.5227154,0.21795684,,,,,
MED-324,,0.06398744,,0.38117397,,,0.54590446,,,,,,,
MED-325,,,,0.99311936,,,,,,,,,,
MED-326,,0.11123654,,0.6044596,,,0.27830416,,,,,,,
MED-327,,,,,,0.6098818,,,0.38394877,,,,,
MED-328,,0.1782405,,0.45240048,,,0.3645363,,,,,,,
MED-329,,0.071387395,,,0.25597668,,0.66681004,,,,,,,
MED-330,,,,0.12292391,0.34144682,,0.5290797,,,,,,,
MED-331,,,,,,0.7850068,,,0.20859157,,,,,
MED-332,,,,0.24004899,0.18081328,0.058529057,0.5157474,,,,,,,
MED-333,,0.12605512,,0.281979,,0.17912869,0.4082269,,,,,,,
MED-334,,,,0.7121177,,,0.28079596,,,,,,,
MED-335,,0.24043898,,0.43374646,,,0.11288031,,0.20782943,,,,,
MED-336,,,,0.5914394,,0.10680894,0.2971007,,,,,,,
MED-337,,0.049734842,,0.08125461,,,0.46567163,,,,0.39626184,,,
MED-338,,,,,0.971855,,,,,,,,,
MED-339,,,,,0.8611164,,,,0.1334897,,,,,
MED-340,,,,,0.42037612,0.5591987,,,,,,,,
MED-341,,,,,0.97935647,,,,,,,,,
MED-342,,,,,0.9905173,,,,,,,,,
MED-343,,,,,0.15012044,0.83082145,,,,,,,,
MED-344,,,,,0.4714339,0.5205489,,,,,,,,
MED-345,,,,,0.9253524,0.066708244,,,,,,,,
MED-346,,,,,0.23934808,0.7496588,,,,,,,,
MED-347,,,,,0.971855,,,,,,,,,
MED-348,,,,,0.9905173,,,,,,,,,
MED-349,,0.36952803,,,,,0.62332076,,,,,,,
MED-350,,,,,0.6768236,0.3145092,,,,,,,,
MED-351,,0.9933642,,,,,,,,,,,,
MED-352,,0.8939719,,,,,0.09197104,,,,,,,
MED-353,,0.94662815,,,0.0457168,,,,,,,,,
MED-354,,0.9925695,,,,,,,,,,,,
MED-355,,0.20530269,,0.62296534,0.16539204,,,,,,,,,
MED-356,,0.21111862,,,0.47151527,0.31175107,,,,,,,,
MED-357,,,,,,,0.9888089,,,,,,,
MED-358,,,,,,,0.9947209,,,,,,,
MED-359,,0.46700454,,,,,0.52618754,,,,,,,
MED-360,,0.893966,,,,,0.091977,,,,,,,
MED-361,,,,,,0.72936887,0.12704693,,,,,0.1380076,,
MED-362,,,,,,,0.29764557,,0.25331664,,,0.43447724,,
MED-363,,,,,,,0.9907061,,,,,,,
MED-364,,,,,,0.08795861,0.90431464,,,,,,,
MED-365,,0.09927263,,,,,0.895711,,,,,,,
MED-366,,0.17965026,,,0.47511977,,0.34073764,,,,,,,
MED-367,,,,,0.3292494,,0.6632884,,,,,,,
MED-368,,,,,,,0.99000716,,,,,,,
MED-369,,,,,0.34171185,,0.6481923,,,,,,,
MED-370,,,,,0.6916101,,0.30212992,,,,,,,
MED-371,,,,,0.9062405,,0.08706011,,,,,,,
MED-372,,,,,0.41267604,,0.5734922,,,,,,,
MED-373,,,,,0.4186245,,0.5675469,,,,,,,
MED-374,,,,,0.9861285,,,,,,,,,
MED-375,,,,,0.9909793,,,,,,,,,
MED-376,,,,,0.746392,,0.24528399,,,,,,,
MED-377,,,,,0.98824316,,,,,,,,,
MED-378,,,,,0.78857446,,0.20574664,,,,,,,
MED-379,,,,,0.22873451,,0.76481545,,,,,,,
MED-380,,,,,0.9901163,,,,,,,,,
MED-381,,,,,0.6652943,,0.32718155,,,,,,,
MED-382,,,,,,0.3861732,,,,,,,0.59903896,
MED-383,,0.29916137,,,,,0.17017804,,,,,,0.5230267,
MED-384,,,,,0.89994043,,,,0.09112564,,,,,
MED-385,,0.26035807,,,,,0.14186557,,,,,,0.5911148,
MED-386,,0.90601087,,,,,,,,,,,,0.08849031
MED-387,,0.26344424,,,,0.23478982,,,0.48634535,,,,,
MED-388,,,,,,,0.2819828,,,,,,0.70755935,
MED-389,,0.30738565,,,,,,,0.11237893,,,,0.5728181,
MED-390,,,,0.21978283,0.7289784,,0.044460405,,,,,,,
MED-391,,0.6947812,,0.29867387,,,,,,,,,,
