index,Topics
MED-1,"['acrylamide / blood', 'adult', 'birth weight', 'chromatography, liquid', 'cohort studies', 'diet', 'environmental exposure', 'environmental monitoring', 'environmental pollutants / blood', 'epoxy compounds / blood', 'europe / epidemiology', 'female', 'fetal blood / chemistry', 'head / anatomy &amp; histology', 'hemoglobins / metabolism', 'humans', 'infant, low birth weight', 'infant, newborn', 'mass spectrometry', 'maternal exposure', 'pregnancy', 'prenatal exposure delayed effects / chemically induced', 'prenatal exposure delayed effects / epidemiology', 'prospective studies', 'regression analysis', 'surveys and questionnaires']"
MED-2,"['acrylamide / chemistry', 'acrylamide / toxicity', 'adolescent', 'cooking', 'diet surveys', 'food contamination', 'humans', 'neoplasms / chemically induced', 'risk assessment', 'solanum tuberosum']"
MED-3,"['acrylamide / administration &amp; dosage', 'acrylamide / blood', 'adult', 'aged', 'c-reactive protein / metabolism', 'female', 'hemoglobins / metabolism', 'humans', 'interleukin-6 / blood', 'lipopolysaccharide receptors / blood', 'lipoproteins, ldl / blood', 'male', 'middle aged', 'neutrophils / metabolism', 'pilot projects', 'reactive oxygen species / blood', 'respiratory burst', 'solanum tuberosum', 'young adult', 'gamma-glutamyltransferase / blood']"
MED-4,"['adult', 'aged', 'breast neoplasms / etiology', 'breast neoplasms / prevention &amp; control', 'case-control studies', 'diet / adverse effects', 'feeding behavior', 'female', 'humans', 'iran', 'middle aged', 'risk', 'risk factors']"
MED-5,"['adult', 'aged', 'aged, 80 and over', 'body mass index', 'breast neoplasms / epidemiology', 'breast neoplasms / etiology', 'cohort studies', 'diet', 'educational status', 'fabaceae', 'factor analysis, statistical', 'feeding behavior', 'female', 'follow-up studies', 'humans', 'middle aged', 'neoplasm invasiveness', 'postmenopause', 'prospective studies', 'receptors, estrogen / analysis', 'receptors, progesterone / analysis', 'risk assessment', 'risk factors', 'surveys and questionnaires']"
MED-6,"['adult', 'aged', 'case-control studies', 'cooking', 'diet, high-fat / adverse effects', 'diet, high-fat / statistics &amp; numerical data', 'humans', 'male', 'middle aged', 'prostatic neoplasms / epidemiology', 'seer program', 'washington / epidemiology']"
MED-7,"['amines / adverse effects', 'amines / chemistry', 'animals', 'carcinogenicity tests', 'carcinogens / adverse effects', 'carcinogens / chemistry', 'cocarcinogenesis', 'cooking / methods', 'dna adducts', 'dna damage', 'dose-response relationship, drug', 'fishes', 'gastrointestinal neoplasms / chemically induced', 'genetic predisposition to disease', 'heterocyclic compounds / adverse effects', 'heterocyclic compounds / chemistry', 'hot temperature', 'humans', 'liver neoplasms, experimental / chemically induced', 'meat / adverse effects', 'mice', 'mutagenicity tests', 'mutagens / adverse effects', 'mutagens / chemistry', 'neoplasms / chemically induced', 'neoplasms / prevention &amp; control', 'quinolines / adverse effects', 'quinolines / chemistry', 'rats', 'risk']"
MED-8,"['acrylamide / adverse effects', 'acrylamide / analysis', 'acrylamide / chemistry', 'animals', 'food contamination / prevention &amp; control', 'food handling / methods', 'food technology / trends', 'food, preserved / analysis', 'hot temperature / adverse effects', 'humans', 'maillard reaction']"
MED-9,"['apoptosis / drug effects', 'apoptosis / physiology', 'breast neoplasms', 'carcinoma, squamous cell', 'caspase 3', 'caspases / metabolism', 'cell line, tumor', 'cell survival', 'cholesterol / metabolism', 'down-regulation', 'enzyme activation', 'erbb receptors / metabolism', 'female', 'humans', 'hydroxymethylglutaryl-coa reductase inhibitors / pharmacology', 'male', 'membrane microdomains / drug effects', 'membrane microdomains / metabolism', 'neoplasms / metabolism', 'neoplasms / pathology', 'neoplasms / ultrastructure', 'prostatic neoplasms', 'proto-oncogene proteins c-akt / metabolism', 'signal transduction', 'simvastatin / pharmacology', 'bcl-x protein / metabolism', 'beta-cyclodextrins / pharmacology']"
MED-10,"['breast neoplasms / diagnosis', 'breast neoplasms / drug therapy', 'breast neoplasms / mortality', 'cohort studies', 'female', 'finland', 'humans', 'hydroxymethylglutaryl-coa reductase inhibitors / pharmacology', 'hydroxymethylglutaryl-coa reductase inhibitors / therapeutic use', 'middle aged', 'survival analysis']"
MED-11,"['breast neoplasms / prevention &amp; control', 'case-control studies', 'cholesterol / blood', 'cohort studies', 'epidemiologic studies', 'female', 'humans', 'hydroxymethylglutaryl-coa reductase inhibitors / therapeutic use', 'research design', 'risk']"
MED-12,"['antineoplastic agents, hormonal / pharmacology', 'breast neoplasms / drug therapy', 'breast neoplasms / pathology', 'cell division / drug effects', 'cell line, tumor', 'cell survival / drug effects', 'ceramides / metabolism', 'drug synergism', 'female', 'humans', 'serine c-palmitoyltransferase / drug effects', 'serine c-palmitoyltransferase / metabolism', 'sitosterols / pharmacology', 'sphingolipids / metabolism', 'tamoxifen / pharmacology']"
MED-13,"['aged', 'breast neoplasms / chemically induced', 'breast neoplasms / epidemiology', 'breast neoplasms / pathology', 'carcinoma, ductal, breast / chemically induced', 'carcinoma, ductal, breast / epidemiology', 'carcinoma, ductal, breast / pathology', 'carcinoma, lobular / chemically induced', 'carcinoma, lobular / epidemiology', 'carcinoma, lobular / pathology', 'case-control studies', 'female', 'humans', 'hydroxymethylglutaryl-coa reductase inhibitors / administration &amp; dosage', 'hydroxymethylglutaryl-coa reductase inhibitors / adverse effects', 'middle aged', 'risk factors', 'washington / epidemiology']"
MED-14,"['aged', 'aged, 80 and over', 'breast neoplasms / mortality', 'cardiovascular diseases / mortality', 'cardiovascular diseases / prevention &amp; control', 'case-control studies', 'cohort studies', 'female', 'humans', 'hydroxymethylglutaryl-coa reductase inhibitors / therapeutic use', 'middle aged', 'proportional hazards models', 'registries', 'simvastatin / therapeutic use', 'survival rate']"
MED-15,"['animals', 'biological evolution', 'cholesterol / physiology', 'coronary disease / genetics', 'coronary disease / physiopathology', 'diet', 'hominidae / physiology', 'humans', 'plants, edible']"
