query,ranking,scores,Diversity@10
PLAIN-1,"['MED-2418', 'MED-5088', 'MED-5209', 'MED-5085', 'MED-8', 'MED-4916', 'MED-674', 'MED-4198', 'MED-1820', 'MED-3795']","[703.4495066796644, 328.30342219898694, 312.65473792182775, 266.74581671300825, 241.92472978826913, 212.49184354514986, 138.8786018937964, 135.38031478571205, 128.14339425320986, 107.54802532697435]",0.9605323718678076
PLAIN-2,"['MED-13', 'MED-2427', 'MED-9', 'MED-2439', 'MED-4675', 'MED-4676', 'MED-3795', 'MED-2632', 'MED-2653', 'MED-4399']","[458.886922240659, 420.2043994510681, 420.2043994510681, 281.05634369138005, 211.51160316533958, 211.51160316533958, 188.5553235999402, 169.07448647242472, 169.07448647242472, 161.16034198138567]",0.8849056935867606
PLAIN-3,"['MED-2434', 'MED-3826', 'MED-3836', 'MED-4296', 'MED-2103', 'MED-3795', 'MED-1958', 'MED-3800', 'MED-2632', 'MED-120', 'MED-4662']","[354.681046373123, 239.09934337127666, 239.09934337127666, 220.25986635043657, 215.8789969705335, 175.75707026244928, 156.25728403589417, 143.92953049333678, 142.68380079922565, 142.68380079922565, 97.46462308207606]",0.8799454055837107
PLAIN-4,"['MED-2454', 'MED-31', 'MED-4677', 'MED-3517', 'MED-565', 'MED-3289', 'MED-765', 'MED-2339', 'MED-3067', 'MED-5248', 'MED-2468']","[428.1633989406257, 260.0356998905228, 187.83775480331406, 178.00507131110322, 178.00507131110322, 171.78568296824113, 163.84610780972994, 163.84610780972994, 135.17776321078932, 133.13310511539396, 123.02056842918815]",0.834993468753684
PLAIN-5,"['MED-2447', 'MED-33', 'MED-25', 'MED-2456', 'MED-31', 'MED-4014', 'MED-5084', 'MED-2468', 'MED-4884', 'MED-895']","[470.69234231249044, 470.69234231249044, 470.69234231249044, 305.738026174591, 305.738026174591, 230.0703803446066, 200.06452650053654, 158.4810186711565, 151.81690694221112, 151.30963869157142]",0.8677827743572099
PLAIN-6,"['MED-25', 'MED-2456', 'MED-31', 'MED-2664', 'MED-4677', 'MED-2965', 'MED-2957', 'MED-2656', 'MED-4181', 'MED-4840', 'MED-2110']","[585.3816506064405, 437.54855135055595, 437.54855135055595, 275.9619336680836, 242.05663524008912, 236.0087009719101, 236.0087009719101, 234.17333341890708, 188.493082270131, 166.03903589936562, 119.46223748621698]",0.9257867848482781
PLAIN-7,"['MED-31', 'MED-2456', 'MED-2624', 'MED-2478', 'MED-2637', 'MED-38', 'MED-635', 'MED-3690', 'MED-4489', 'MED-899']","[571.99616700029, 571.99616700029, 522.8031343530147, 405.87802429526306, 324.49421605785824, 268.6735552839628, 195.6842744390276, 195.6842744390276, 149.50143540669504, 149.28490524877833]",0.8868656981257815
PLAIN-8,"['MED-47', 'MED-1449', 'MED-2423', 'MED-3085', 'MED-2206', 'MED-4965', 'MED-5110', 'MED-4490', 'MED-2074', 'MED-2284', 'MED-1570']","[210.29845868188212, 199.3518533479302, 134.96490587958095, 125.12153956855948, 109.36481613186729, 103.33259375744382, 99.24056632934727, 88.38991494413821, 87.20667380642648, 76.37466044356961, 73.69636469994195]",0.9775696271322212
PLAIN-9,"['MED-51', 'MED-4531', 'MED-2809', 'MED-2284', 'MED-733', 'MED-316', 'MED-3044', 'MED-3039', 'MED-313', 'MED-2616', 'MED-5075']","[719.7985428459981, 375.53040621971616, 169.6584884729528, 148.9042361451574, 140.32183989278053, 99.94749146986415, 99.94749146986415, 98.21724323330832, 98.21724323330832, 92.20699427060782, 71.90324607144598]",0.931946297295213
PLAIN-10,"['MED-2494', 'MED-1774', 'MED-3590', 'MED-2911', 'MED-1838', 'MED-853', 'MED-721', 'MED-2063', 'MED-1573', 'MED-4490']","[529.3431348907731, 280.306621256023, 241.113091739181, 231.21492545809846, 156.6828485467293, 144.07736523659986, 130.01186193917974, 126.63489537665579, 118.76642299537473, 116.51184086649766]",0.9505851135774083
