Epsilon,mean-Top100,standardDeviation-Top100,median-Top100,min-Top100,max-Top100,mean-Top10,standardDeviation-Top10,median-Top10,min-Top10,max-Top10
BM25,0.9208491027090219,0.02202322017662307,0.9277851842985414,0.8221692413226804,0.9582036918927604,0.8353859526009733,0.0992312562389481,0.852675159003952,0.2697318007662836,0.9803917227768316
0,0.9416183000381529,0.011248587836474715,0.9438505918672256,0.8868793822615704,0.964695298157584,0.9514696473092524,0.017352947026591754,0.9546466083428792,0.7892050987114352,0.9865436550819692
0.01,0.9416546951647408,0.01120699454509696,0.9437893181559852,0.8868793822615704,0.964695298157584,0.9512974976944397,0.017354070335755353,0.9544266607575946,0.7892050987114352,0.9865436550819692
0.1,0.9418019199913135,0.01079389080214889,0.9440506708136538,0.8914007760573824,0.9630449304925404,0.9496192512466928,0.017402904446111575,0.9520720072630146,0.8176615199281233,0.9865436550819692
0.25,0.9421449590723809,0.01019750965254743,0.9443763441539104,0.8972557101639479,0.9641887032006328,0.9464734669006718,0.018904408829475722,0.9499439968117568,0.8273343160273926,0.9856378606423976
0.5,0.942614359044715,0.010108528581563333,0.944978522472244,0.9020703447614858,0.9648359465822274,0.9415962403311493,0.02127652840795913,0.9452987840568958,0.8389801160860849,0.9871277148370904
0.75,0.942858960979827,0.010000853958379395,0.945059278059478,0.8972874291172611,0.9635917755922976,0.9378472423404608,0.024540765380986797,0.942031058068018,0.8042269931026409,0.9869251468702612
0.9,0.9426597043390699,0.010124524879410228,0.9448011847857296,0.903216108214434,0.9646763417331778,0.9369421999904971,0.026397523055746934,0.9418373029737378,0.7840298361604443,0.9868768625675004
0.99,0.9425630201496541,0.010026607557944022,0.944654039500978,0.9052595034794688,0.963797689491346,0.9352613159572843,0.028077748571461707,0.9405738602751073,0.7091994242141301,0.9875243189504498
1,0.9426232969157241,0.010097728205720215,0.94474054924135,0.9018073539129507,0.9659298897224043,0.9352762588301091,0.028620254627612543,0.9398748222812184,0.7645187983692074,0.9888891843723516
