query,ranking,scores,Diversity@10
PLAIN-1,"['MED-2418', 'MED-2195', 'MED-5088', 'MED-5209', 'MED-5269', 'MED-5085', 'MED-4916', 'MED-674', 'MED-3821', 'MED-1820', 'MED-3795']","[703.4495066796644, 469.4073816899184, 328.30342219898694, 312.65473792182775, 302.2718753109403, 266.74581671300825, 212.49184354514986, 138.8786018937964, 138.8786018937964, 128.14339425320986, 107.54802532697435]",0.9416479010767825
PLAIN-2,"['MED-13', 'MED-2431', 'MED-2427', 'MED-9', 'MED-2439', 'MED-4675', 'MED-2436', 'MED-16', 'MED-2632', 'MED-2653']","[458.886922240659, 458.886922240659, 420.2043994510681, 420.2043994510681, 281.05634369138005, 211.51160316533958, 197.37950742956795, 197.37950742956795, 169.07448647242472, 169.07448647242472]",0.8638382583721442
PLAIN-3,"['MED-2434', 'MED-3832', 'MED-3824', 'MED-2427', 'MED-2439', 'MED-3826', 'MED-355', 'MED-3135', 'MED-1958', 'MED-4676']","[354.681046373123, 298.57828635674144, 298.57828635674144, 292.4789768857338, 287.8548444397399, 239.09934337127666, 213.10233468149113, 213.10233468149113, 156.25728403589417, 146.02224200946176]",0.9061633381576836
PLAIN-4,"['MED-2454', 'MED-895', 'MED-3517', 'MED-3289', 'MED-3150', 'MED-3067', 'MED-3077', 'MED-3091', 'MED-5248', 'MED-5343']","[428.1633989406257, 179.47292559638146, 178.00507131110322, 171.78568296824113, 156.64896941228673, 135.17776321078932, 135.17776321078932, 135.17776321078932, 133.13310511539396, 113.63138081214959]",0.8178706472509332
PLAIN-5,"['MED-2447', 'MED-2456', 'MED-4014', 'MED-4030', 'MED-5172', 'MED-2478', 'MED-5084', 'MED-2468', 'MED-38', 'MED-866', 'MED-4884']","[470.69234231249044, 305.738026174591, 230.0703803446066, 230.0703803446066, 225.45279491253342, 207.93788593722488, 200.06452650053654, 158.4810186711565, 158.4810186711565, 151.85535655355494, 151.81690694221112]",0.8929097845283189
PLAIN-6,"['MED-25', 'MED-2456', 'MED-895', 'MED-2468', 'MED-5084', 'MED-4677', 'MED-2965', 'MED-4181', 'MED-4840', 'MED-2110', 'MED-4198']","[585.3816506064405, 437.54855135055595, 273.5308470326798, 264.89525264329603, 256.1613669087317, 242.05663524008912, 236.0087009719101, 188.493082270131, 166.03903589936562, 119.46223748621698, 115.04430230020506]",0.947686264790704
PLAIN-7,"['MED-31', 'MED-2478', 'MED-2637', 'MED-38', 'MED-2339', 'MED-635', 'MED-5084', 'MED-4489', 'MED-899', 'MED-4523', 'MED-2965']","[571.99616700029, 405.87802429526306, 324.49421605785824, 268.6735552839628, 230.82301904680716, 195.6842744390276, 168.42735140504712, 149.50143540669504, 149.28490524877833, 136.0511727201581, 136.0511727201581]",0.9477334616150391
PLAIN-8,"['MED-47', 'MED-1449', 'MED-4593', 'MED-4747', 'MED-4911', 'MED-2206', 'MED-4965', 'MED-4969', 'MED-1770', 'MED-4490', 'MED-1570']","[210.29845868188212, 199.3518533479302, 118.42614774375407, 115.85978582692817, 114.29323872258043, 109.36481613186729, 103.33259375744382, 103.33259375744382, 101.87849054182895, 88.38991494413821, 73.69636469994195]",0.9430531528762611
PLAIN-9,"['MED-51', 'MED-4910', 'MED-4531', 'MED-4734', 'MED-2809', 'MED-2798', 'MED-218', 'MED-3089', 'MED-3039', 'MED-5075', 'MED-2068']","[719.7985428459981, 509.3856302814301, 375.53040621971616, 337.1832804961906, 169.6584884729528, 169.6584884729528, 169.6584884729528, 154.6689846829205, 98.21724323330832, 71.90324607144598, 67.0402247281771]",0.9100806510517011
PLAIN-10,"['MED-2494', 'MED-1774', 'MED-2911', 'MED-1099', 'MED-4533', 'MED-4528', 'MED-853', 'MED-721', 'MED-2063', 'MED-4490', 'MED-1272']","[529.3431348907731, 280.306621256023, 231.21492545809846, 226.90070068147682, 169.60491011110037, 169.60491011110037, 144.07736523659986, 130.01186193917974, 126.63489537665579, 116.51184086649766, 113.33851188722389]",0.9330444874344672
