query,ranking,scores,Diversity@10
PLAIN-1,"['MED-2418', 'MED-2195', 'MED-3', 'MED-5088', 'MED-4916', 'MED-5076', 'MED-674', 'MED-4198', 'MED-1820', 'MED-2074']","[703.4495066796644, 469.4073816899184, 360.8515783193584, 328.30342219898694, 212.49184354514986, 197.28937009013177, 138.8786018937964, 135.38031478571205, 128.14339425320986, 115.9391594862332]",0.9752777955024273
PLAIN-2,"['MED-13', 'MED-2431', 'MED-1193', 'MED-2439', 'MED-19', 'MED-4675', 'MED-2436', 'MED-3795', 'MED-702', 'MED-2100']","[458.886922240659, 458.886922240659, 341.6020933577077, 281.05634369138005, 281.05634369138005, 211.51160316533958, 197.37950742956795, 188.5553235999402, 147.34902356899894, 147.20747403165373]",0.8960701973534329
PLAIN-3,"['MED-2434', 'MED-3832', 'MED-2439', 'MED-3826', 'MED-3836', 'MED-4296', 'MED-2103', 'MED-355', 'MED-1958', 'MED-4662']","[354.681046373123, 298.57828635674144, 287.8548444397399, 239.09934337127666, 239.09934337127666, 220.25986635043657, 215.8789969705335, 213.10233468149113, 156.25728403589417, 97.46462308207606]",0.9018164723433982
PLAIN-4,"['MED-2454', 'MED-4677', 'MED-3517', 'MED-565', 'MED-5172', 'MED-3289', 'MED-3150', 'MED-3067', 'MED-5248', 'MED-2468', 'MED-38']","[428.1633989406257, 187.83775480331406, 178.00507131110322, 178.00507131110322, 174.16856065327735, 171.78568296824113, 156.64896941228673, 135.17776321078932, 133.13310511539396, 123.02056842918815, 123.02056842918815]",0.8493527012808867
PLAIN-5,"['MED-2447', 'MED-2456', 'MED-3744', 'MED-4091', 'MED-5076', 'MED-2948', 'MED-1172', 'MED-891', 'MED-2468', 'MED-38', 'MED-4884']","[470.69234231249044, 305.738026174591, 290.89776355786927, 200.85841051542803, 190.36321846857095, 184.6558006669968, 165.4836786494664, 161.20497121214356, 158.4810186711565, 158.4810186711565, 151.81690694221112]",0.9368640561007457
PLAIN-6,"['MED-25', 'MED-2456', 'MED-2664', 'MED-895', 'MED-2468', 'MED-5084', 'MED-4677', 'MED-2965', 'MED-4181', 'MED-2339', 'MED-765']","[585.3816506064405, 437.54855135055595, 275.9619336680836, 273.5308470326798, 264.89525264329603, 256.1613669087317, 242.05663524008912, 236.0087009719101, 188.493082270131, 177.9914479209275, 177.9914479209275]",0.9431685666978221
PLAIN-7,"['MED-31', 'MED-2478', 'MED-2637', 'MED-38', 'MED-895', 'MED-2339', 'MED-635', 'MED-3690', 'MED-5172', 'MED-899']","[571.99616700029, 405.87802429526306, 324.49421605785824, 268.6735552839628, 249.02508387960907, 230.82301904680716, 195.6842744390276, 195.6842744390276, 185.1411911937515, 149.28490524877833]",0.9095573511208969
PLAIN-8,"['MED-47', 'MED-2488', 'MED-2423', 'MED-3085', 'MED-4593', 'MED-4747', 'MED-4965', 'MED-5110', 'MED-1570', 'MED-4959']","[210.29845868188212, 210.29845868188212, 134.96490587958095, 125.12153956855948, 118.42614774375407, 115.85978582692817, 103.33259375744382, 99.24056632934727, 73.69636469994195, 71.28608073123647]",0.9342990618624226
PLAIN-9,"['MED-51', 'MED-4912', 'MED-4531', 'MED-4734', 'MED-4528', 'MED-2809', 'MED-3089', 'MED-2284', 'MED-316', 'MED-3044']","[719.7985428459981, 509.3856302814301, 375.53040621971616, 337.1832804961906, 332.8519716097755, 169.6584884729528, 154.6689846829205, 148.9042361451574, 99.94749146986415, 99.94749146986415]",0.9480651220620425
PLAIN-10,"['MED-2494', 'MED-1774', 'MED-2496', 'MED-54', 'MED-3590', 'MED-1099', 'MED-4533', 'MED-1838', 'MED-721', 'MED-2063', 'MED-1272']","[529.3431348907731, 280.306621256023, 277.0118896858886, 277.0118896858886, 241.113091739181, 226.90070068147682, 169.60491011110037, 156.6828485467293, 130.01186193917974, 126.63489537665579, 113.33851188722389]",0.9194448460890298
PLAIN-11,"['MED-3273', 'MED-2509', 'MED-2506', 'MED-2325', 'MED-3309', 'MED-4198', 'MED-5104', 'MED-5103', 'MED-4746', 'MED-4489', 'MED-2711']","[433.0912600549884, 330.6358168778309, 288.4974322189156, 254.90539444037964, 154.84475591344915, 135.57118750311946, 115.65186205280745, 115.65186205280745, 106.92276845420142, 96.34628854523687, 79.47324713499923]",0.8929460464116499
PLAIN-12,"['MED-73', 'MED-2506', 'MED-66', 'MED-2510', 'MED-74', 'MED-2518', 'MED-1570', 'MED-4264', 'MED-1289', 'MED-5343']","[234.49995302722516, 184.21335287244113, 150.8039677414996, 150.8039677414996, 80.76967482289166, 80.2675178159178, 66.65632547025928, 63.91934358759151, 58.582491043292656, 51.184806747173674]",0.9027938576184116
PLAIN-14,"['MED-2522', 'MED-4990', 'MED-1987', 'MED-2270', 'MED-1065', 'MED-2009', 'MED-4956', 'MED-4399', 'MED-4716', 'MED-2089']","[236.8740720727007, 150.95192266102842, 128.81420561271187, 120.27000589908492, 114.25529728877197, 104.70872342265297, 99.2232473446124, 97.93232688876041, 90.33312254995751, 73.06776795940247]",0.9579472306651182
PLAIN-15,"['MED-76', 'MED-1350', 'MED-2284', 'MED-4236', 'MED-2428', 'MED-3091', 'MED-727', 'MED-4676', 'MED-4675', 'MED-5343']","[284.59263011952964, 250.41011480197662, 208.7527936739612, 187.6633658200384, 171.38765358481163, 159.29564245816536, 153.33642961058177, 110.18133400954166, 110.18133400954166, 93.5825873456569]",0.9230589650434554
PLAIN-16,"['MED-2989', 'MED-2539', 'MED-2988', 'MED-3548', 'MED-92', 'MED-2984', 'MED-2417', 'MED-5', 'MED-3258', 'MED-3732']","[373.78594222178134, 358.9216898565792, 358.9216898565792, 277.32486569899305, 270.5915784535518, 208.90572569273897, 203.50494620255753, 203.50494620255753, 135.36380947144082, 131.36511397713582]",0.8694698460457543
PLAIN-17,"['MED-4777', 'MED-85', 'MED-2986', 'MED-4465', 'MED-1333', 'MED-4444', 'MED-4652', 'MED-3560', 'MED-4060', 'MED-4489', 'MED-3795']","[376.06840259761225, 364.2001607404666, 345.96367188112794, 227.6016435101008, 221.62383608075262, 216.6132390572673, 216.6132390572673, 208.18401183946708, 149.34609683400475, 123.2290490366565, 120.72591049425861]",0.9319428974898714
PLAIN-18,"['MED-2578', 'MED-2561', 'MED-1077', 'MED-2983', 'MED-2985', 'MED-295', 'MED-4056', 'MED-5075', 'MED-4746', 'MED-1820']","[341.18043346884065, 341.18043346884065, 251.3710861590253, 243.09145652015786, 233.26087281261033, 233.26087281261033, 173.38998230837848, 135.50596179346073, 103.97927368611357, 95.8117766966101]",0.9048754736663734
