query,ranking,scores,Diversity@10
PLAIN-1,"['MED-2418', 'MED-2195', 'MED-4053', 'MED-4044', 'MED-5088', 'MED-5209', 'MED-674', 'MED-3821', 'MED-16', 'MED-2616']","[703.4495066796644, 469.4073816899184, 357.44908979180803, 357.44908979180803, 328.30342219898694, 312.65473792182775, 138.8786018937964, 138.8786018937964, 136.10558476765746, 101.81483618321721]",0.9321601765105112
PLAIN-2,"['MED-13', 'MED-2431', 'MED-10', 'MED-11', 'MED-1193', 'MED-1477', 'MED-2439', 'MED-4675', 'MED-2436', 'MED-2632']","[458.886922240659, 458.886922240659, 415.36278641460774, 370.0361940257152, 341.6020933577077, 285.1027765173903, 281.05634369138005, 211.51160316533958, 197.37950742956795, 169.07448647242472]",0.9071978630382093
PLAIN-3,"['MED-2434', 'MED-3832', 'MED-2427', 'MED-355', 'MED-3795', 'MED-1958', 'MED-4676', 'MED-4675', 'MED-4399', 'MED-4662']","[354.681046373123, 298.57828635674144, 292.4789768857338, 213.10233468149113, 175.75707026244928, 156.25728403589417, 146.02224200946176, 146.02224200946176, 138.81836068252596, 97.46462308207606]",0.9287526173709815
PLAIN-4,"['MED-2454', 'MED-31', 'MED-3289', 'MED-3310', 'MED-3150', 'MED-366', 'MED-2355', 'MED-3067', 'MED-3077', 'MED-5248', 'MED-5343']","[428.1633989406257, 260.0356998905228, 171.78568296824113, 171.78568296824113, 156.64896941228673, 156.64896941228673, 153.62196980986096, 135.17776321078932, 135.17776321078932, 133.13310511539396, 113.63138081214959]",0.8502642792221963
PLAIN-5,"['MED-2447', 'MED-33', 'MED-25', 'MED-2458', 'MED-2450', 'MED-3744', 'MED-5172', 'MED-4091', 'MED-1172', 'MED-4884']","[470.69234231249044, 470.69234231249044, 470.69234231249044, 470.69234231249044, 384.3736787143172, 290.89776355786927, 225.45279491253342, 200.85841051542803, 165.4836786494664, 151.81690694221112]",0.8228911727141759
PLAIN-6,"['MED-25', 'MED-2664', 'MED-895', 'MED-2468', 'MED-4677', 'MED-2965', 'MED-4181', 'MED-4840', 'MED-2110', 'MED-4198']","[585.3816506064405, 275.9619336680836, 273.5308470326798, 264.89525264329603, 242.05663524008912, 236.0087009719101, 188.493082270131, 166.03903589936562, 119.46223748621698, 115.04430230020506]",0.9534755410851175
PLAIN-7,"['MED-31', 'MED-27', 'MED-2637', 'MED-38', 'MED-895', 'MED-2339', 'MED-635', 'MED-5084', 'MED-4489', 'MED-899', 'MED-4198']","[571.99616700029, 474.9359795179323, 324.49421605785824, 268.6735552839628, 249.02508387960907, 230.82301904680716, 195.6842744390276, 168.42735140504712, 149.50143540669504, 149.28490524877833, 124.13159876214546]",0.9330285108797006
PLAIN-8,"['MED-47', 'MED-1449', 'MED-2423', 'MED-4', 'MED-3085', 'MED-4965', 'MED-4969', 'MED-4362', 'MED-1770', 'MED-3499']","[210.29845868188212, 199.3518533479302, 134.96490587958095, 134.96490587958095, 125.12153956855948, 103.33259375744382, 103.33259375744382, 103.33259375744382, 101.87849054182895, 95.20687845017319]",0.8849400209926526
PLAIN-9,"['MED-51', 'MED-4912', 'MED-4734', 'MED-2809', 'MED-3089', 'MED-325', 'MED-2284', 'MED-733', 'MED-316', 'MED-3039', 'MED-313']","[719.7985428459981, 509.3856302814301, 337.1832804961906, 169.6584884729528, 154.6689846829205, 154.6689846829205, 148.9042361451574, 140.32183989278053, 99.94749146986415, 98.21724323330832, 98.21724323330832]",0.9497714892927943
PLAIN-10,"['MED-2494', 'MED-1774', 'MED-2911', 'MED-4533', 'MED-4528', 'MED-1838', 'MED-1570', 'MED-1843', 'MED-853', 'MED-2485']","[529.3431348907731, 280.306621256023, 231.21492545809846, 169.60491011110037, 169.60491011110037, 156.6828485467293, 148.52204584113196, 146.34585198030902, 144.07736523659986, 137.6445520013233]",0.935351497142055
